pz 7
bT 0
component real
nstates 2
normalization_mode mode3
lattice_spacing_fm 7.6000000000e-02
zstep_fm 1.0000000000e-02
interpolation_kind cubic
x	q_mean	q_err	q_p16	q_p84
1.1000000000e-01	6.1992952642e-01	3.2757356120e-03	6.1665379081e-01	6.2320526203e-01
1.2000000000e-01	6.3305951198e-01	3.4073407994e-03	6.2965217118e-01	6.3646685278e-01
1.3000000000e-01	6.4594055778e-01	3.4208047136e-03	6.4251975307e-01	6.4936136249e-01
1.4000000000e-01	6.5851998501e-01	3.6008254504e-03	6.5491915956e-01	6.6212081046e-01
1.5000000000e-01	6.7067002254e-01	3.7123511141e-03	6.6695767142e-01	6.7438237365e-01
1.6000000000e-01	6.8246449046e-01	3.9698703039e-03	6.7849462015e-01	6.8643436076e-01
1.7000000000e-01	6.9377922797e-01	4.0940454103e-03	6.8968518256e-01	6.9787327338e-01
1.8000000000e-01	7.0475337401e-01	4.2172180277e-03	7.0053615598e-01	7.0897059204e-01
1.9000000000e-01	7.1522468620e-01	4.2399775002e-03	7.1098470870e-01	7.1946466370e-01
2.0000000000e-01	7.2508877596e-01	4.2264697680e-03	7.2086230619e-01	7.2931524573e-01
2.1000000000e-01	7.3464916337e-01	4.1526061333e-03	7.3049655723e-01	7.3880176950e-01
2.2000000000e-01	7.4366123546e-01	4.2441386353e-03	7.3941709682e-01	7.4790537409e-01
2.3000000000e-01	7.5230571112e-01	4.0436277552e-03	7.4826208336e-01	7.5634933887e-01
2.4000000000e-01	7.6050783399e-01	3.9378175995e-03	7.5657001639e-01	7.6444565159e-01
2.5000000000e-01	7.6812429032e-01	3.8011897600e-03	7.6432310056e-01	7.7192548008e-01
2.6000000000e-01	7.7541281811e-01	3.5337995932e-03	7.7187901852e-01	7.7894661770e-01
2.7000000000e-01	7.8213228056e-01	3.4448829192e-03	7.7868739764e-01	7.8557716348e-01
2.8000000000e-01	7.8859037381e-01	3.4445250070e-03	7.8514584880e-01	7.9203489881e-01
2.9000000000e-01	7.9435880038e-01	3.2248682431e-03	7.9113393214e-01	7.9758366863e-01
3.0000000000e-01	7.9984743490e-01	3.3927478952e-03	7.9645468700e-01	8.0324018279e-01
3.1000000000e-01	8.0498332065e-01	3.4182871723e-03	8.0156503348e-01	8.0840160782e-01
3.2000000000e-01	8.0954964518e-01	3.4260302220e-03	8.0612361496e-01	8.1297567541e-01
3.3000000000e-01	8.1368128655e-01	3.4436209545e-03	8.1023766559e-01	8.1712490750e-01
