pz 5
bT 0
component real
nstates 2
normalization_mode mode3
lattice_spacing_fm 7.6000000000e-02
zstep_fm 1.0000000000e-02
interpolation_kind cubic
x	q_mean	q_err	q_p16	q_p84
-5.0000000000e-01	1.0188389834e-01	8.9381097091e-04	1.0099008737e-01	1.0277770931e-01
-4.9000000000e-01	1.0472674565e-01	8.8584706223e-04	1.0384089859e-01	1.0561259271e-01
-4.8000000000e-01	1.0766142083e-01	8.8442060310e-04	1.0677700023e-01	1.0854584144e-01
-4.7000000000e-01	1.1070302135e-01	9.1097480338e-04	1.0979204655e-01	1.1161399615e-01
-4.6000000000e-01	1.1386245020e-01	9.1581812945e-04	1.1294663207e-01	1.1477826833e-01
-4.5000000000e-01	1.1715818600e-01	9.5119121271e-04	1.1620699479e-01	1.1810937722e-01
-4.4000000000e-01	1.2057453176e-01	1.0142918276e-03	1.1956023994e-01	1.2158882359e-01
-4.3000000000e-01	1.2410049462e-01	1.0172660919e-03	1.2308322853e-01	1.2511776072e-01
-4.2000000000e-01	1.2778395144e-01	1.0781650298e-03	1.2670578641e-01	1.2886211647e-01
-4.1000000000e-01	1.3160207415e-01	1.1076245726e-03	1.3049444958e-01	1.3270969873e-01
-4.0000000000e-01	1.3551844340e-01	1.1277465320e-03	1.3439069687e-01	1.3664618993e-01
-3.9000000000e-01	1.3962421732e-01	1.1144315338e-03	1.3850978579e-01	1.4073864886e-01
-3.8000000000e-01	1.4389218856e-01	1.1495427637e-03	1.4274264579e-01	1.4504173132e-01
-3.7000000000e-01	1.4837759998e-01	1.2299960810e-03	1.4714760390e-01	1.4960759606e-01
-3.6000000000e-01	1.5298056722e-01	1.2563042749e-03	1.5172426295e-01	1.5423687150e-01
-3.5000000000e-01	1.5776107217e-01	1.3104629492e-03	1.5645060922e-01	1.5907153512e-01
-3.4000000000e-01	1.6268881066e-01	1.3310443310e-03	1.6135776633e-01	1.6401985499e-01
-3.3000000000e-01	1.6780964071e-01	1.3574688375e-03	1.6645217187e-01	1.6916710955e-01
-3.2000000000e-01	1.7309900182e-01	1.3589573570e-03	1.7174004447e-01	1.7445795918e-01
-3.1000000000e-01	1.7862633558e-01	1.3927273171e-03	1.7723360826e-01	1.8001906289e-01
-3.0000000000e-01	1.8429948336e-01	1.4265301113e-03	1.8287295325e-01	1.8572601347e-01
-2.9000000000e-01	1.9014851016e-01	1.4399110682e-03	1.8870859910e-01	1.9158842123e-01
-2.8000000000e-01	1.9618039129e-01	1.4248013804e-03	1.9475558991e-01	1.9760519267e-01
-2.7000000000e-01	2.0244641991e-01	1.4721262239e-03	2.0097429368e-01	2.0391854613e-01
