normalization_mode mode3
title l64c64a076_m140_fit_pz0
gm T5
eta eta0
pz 0
bT 0
component real
nstates 2
normalization_sample_domain complex
input_fit_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz0/tables/l64c64a076_m140_fit_pz0_T5_eta0_bT0_real_2state_fit.txt
input_sample_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz0/samples/l64c64a076_m140_fit_pz0_T5_eta0_bT0_real_2state_samples.txt
reference_same_pz_bT0_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
reference_pz0_same_bT_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
reference_pz0_bT0_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
bz	tmin	tmax	success_bootstrap_center	chi2_dof	pvalue	two_point_fit_tmax	m0_mean	m0_err
0	4	20	1	1.4966109901e-01	9.9946578118e-01	25	1.0000000000e+00	0.0000000000e+00
1	4	20	1	1.5455540245e-01	9.9929880171e-01	25	9.4641480862e-01	1.3255810324e-04
2	4	20	1	1.6461428100e-01	9.9897503678e-01	25	8.5100430206e-01	3.4755569492e-04
3	4	20	1	1.8774626110e-01	9.9773142997e-01	25	7.5127915417e-01	4.9004344397e-04
4	4	20	1	2.4040847041e-01	9.9222215113e-01	25	6.5485297819e-01	6.1220779665e-04
5	4	20	1	3.5280895627e-01	9.5788713230e-01	25	5.6441799500e-01	7.6351327350e-04
6	4	20	1	4.6935550525e-01	8.8811249477e-01	25	4.8165025002e-01	8.8292093698e-04
7	4	20	1	6.0194314952e-01	7.7509011327e-01	25	4.0751430513e-01	9.6615634902e-04
8	4	20	1	7.6903827714e-01	6.4290602173e-01	25	3.4221401926e-01	1.0341192456e-03
9	4	20	1	9.6149113445e-01	5.3127270242e-01	25	2.8543158985e-01	1.0916767997e-03
10	4	20	1	1.2598073763e+00	3.5337710365e-01	25	2.3664543843e-01	1.0879602930e-03
11	4	20	1	1.6323107449e+00	1.7095420798e-01	25	1.9509830854e-01	1.0526089294e-03
12	4	20	1	1.9045964537e+00	8.1990402695e-02	25	1.6002721886e-01	1.0491680024e-03
13	4	20	1	2.0176001032e+00	6.2213897283e-02	25	1.3066951006e-01	1.0391445853e-03
14	4	20	1	1.9990648998e+00	6.7190458565e-02	25	1.0633316967e-01	1.0446730167e-03
15	4	20	1	1.9161072507e+00	8.1368656522e-02	25	8.6138572737e-02	9.9051882411e-04
16	4	20	1	1.9365571788e+00	6.4898832201e-02	25	6.9643241900e-02	9.7763857542e-04
17	4	20	1	2.0744670013e+00	4.5753669866e-02	25	5.6250971056e-02	9.2755349840e-04
18	4	20	1	2.2698789474e+00	2.3152617139e-02	25	4.5380977877e-02	8.4908256898e-04
19	4	20	1	2.4026660034e+00	1.2116247908e-02	25	3.6643520730e-02	7.9227778738e-04
20	4	20	1	2.5091001685e+00	9.0386626119e-03	25	2.9586753431e-02	7.3464554046e-04
