normalization_mode mode3
title l64c64a076_m140_fit_pz8
gm T5
eta eta0
pz 8
bT 0
component real
nstates 2
normalization_sample_domain complex
input_fit_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz8/tables/l64c64a076_m140_fit_pz8_T5_eta0_bT0_real_2state_fit.txt
input_sample_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz8/samples/l64c64a076_m140_fit_pz8_T5_eta0_bT0_real_2state_samples.txt
reference_same_pz_bT0_bz0 l64c64a076_m140_fit_pz8 T5 eta0 pz=8 bT=0 bz=0
reference_pz0_same_bT_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
reference_pz0_bT0_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
bz	tmin	tmax	success_bootstrap_center	chi2_dof	pvalue	two_point_fit_tmax	m0_mean	m0_err
0	6	12	1	2.1104669059e+00	1.6530161236e-01	13	1.0000000000e+00	0.0000000000e+00
1	6	12	1	2.2502814819e+00	1.4081733869e-01	13	9.1730234112e-01	4.5148388039e-04
2	6	12	1	2.5913559482e+00	9.7837802484e-02	13	7.5561534122e-01	1.3289907207e-03
3	6	12	1	3.1134670850e+00	4.7548927432e-02	13	5.7794565447e-01	2.1213947700e-03
4	6	12	1	3.8966288710e+00	1.5250429018e-02	13	4.0795171438e-01	2.7603446717e-03
5	6	12	1	4.6776703260e+00	6.3338065497e-03	13	2.6014770122e-01	3.0754657469e-03
6	6	12	1	3.8176731844e+00	2.6394073558e-02	13	1.4405052231e-01	3.6101253167e-03
7	6	12	1	2.3678773587e+00	1.1868572010e-01	13	6.0312955209e-02	3.6029799097e-03
8	6	12	1	2.7118172380e+00	6.3486388758e-02	13	5.9295092936e-03	3.2660149132e-03
9	6	12	1	4.2688031886e+00	8.5404912565e-03	13	-2.4792028490e-02	2.9904895139e-03
10	6	12	1	5.4236754369e+00	1.1024817902e-03	13	-3.8386204028e-02	2.6341293676e-03
11	6	12	1	5.6369600067e+00	9.2451634950e-04	13	-4.0672713538e-02	2.4430349473e-03
12	6	12	1	4.8171780096e+00	4.4223891319e-03	13	-3.4844371618e-02	2.5510577168e-03
13	6	12	1	3.6171582351e+00	3.0857905997e-02	13	-2.5626395834e-02	2.7903138012e-03
14	6	12	1	2.6826270326e+00	1.0268968916e-01	13	-1.6768326155e-02	3.1069427827e-03
15	6	12	1	2.3520756461e+00	1.6088770073e-01	13	-9.5766065276e-03	3.1210546414e-03
16	6	12	1	3.3168894841e+00	4.7472161523e-02	13	-4.8206982412e-03	3.1436057303e-03
17	6	12	1	4.2529646435e+00	1.0499733297e-02	13	-1.6763309967e-03	2.8182618270e-03
18	6	12	1	3.9559688592e+00	1.6879201590e-02	13	-4.8459273770e-04	2.6593124641e-03
19	6	12	1	3.1062694881e+00	8.7784785234e-02	13	-1.2028962805e-03	2.6518478773e-03
20	6	12	1	2.4765997413e+00	1.8195033537e-01	13	-1.8672154938e-03	2.9253888681e-03
