normalization_mode mode3
title l64c64a076_m140_fit_pz1
gm T5
eta eta0
pz 1
bT 0
component real
nstates 2
normalization_sample_domain complex
input_fit_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz1/tables/l64c64a076_m140_fit_pz1_T5_eta0_bT0_real_2state_fit.txt
input_sample_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz1/samples/l64c64a076_m140_fit_pz1_T5_eta0_bT0_real_2state_samples.txt
reference_same_pz_bT0_bz0 l64c64a076_m140_fit_pz1 T5 eta0 pz=1 bT=0 bz=0
reference_pz0_same_bT_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
reference_pz0_bT0_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
bz	sample_id	success	m0
0	0	1	1.0000000000e+00
0	1	1	1.0000000000e+00
0	2	1	1.0000000000e+00
0	3	1	1.0000000000e+00
0	4	1	1.0000000000e+00
0	5	1	1.0000000000e+00
0	6	1	1.0000000000e+00
0	7	1	1.0000000000e+00
0	8	1	1.0000000000e+00
0	9	1	1.0000000000e+00
0	10	1	1.0000000000e+00
0	11	1	1.0000000000e+00
0	12	1	1.0000000000e+00
0	13	1	1.0000000000e+00
0	14	1	1.0000000000e+00
0	15	1	1.0000000000e+00
0	16	1	1.0000000000e+00
0	17	1	1.0000000000e+00
0	18	1	1.0000000000e+00
0	19	1	1.0000000000e+00
0	20	1	1.0000000000e+00
0	21	1	1.0000000000e+00
0	22	1	1.0000000000e+00
0	23	1	1.0000000000e+00
0	24	1	1.0000000000e+00
0	25	1	1.0000000000e+00
0	26	1	1.0000000000e+00
0	27	1	1.0000000000e+00
0	28	1	1.0000000000e+00
0	29	1	1.0000000000e+00
0	30	1	1.0000000000e+00
0	31	1	1.0000000000e+00
0	32	1	1.0000000000e+00
0	33	1	1.0000000000e+00
0	34	1	1.0000000000e+00
0	35	1	1.0000000000e+00
0	36	1	1.0000000000e+00
0	37	1	1.0000000000e+00
0	38	1	1.0000000000e+00
0	39	1	1.0000000000e+00
0	40	1	1.0000000000e+00
0	41	1	1.0000000000e+00
0	42	1	1.0000000000e+00
0	43	1	1.0000000000e+00
0	44	1	1.0000000000e+00
0	45	1	1.0000000000e+00
0	46	1	1.0000000000e+00
0	47	1	1.0000000000e+00
0	48	1	1.0000000000e+00
0	49	1	1.0000000000e+00
0	50	1	1.0000000000e+00
0	51	1	1.0000000000e+00
0	52	1	1.0000000000e+00
0	53	1	1.0000000000e+00
0	54	1	1.0000000000e+00
0	55	1	1.0000000000e+00
0	56	1	1.0000000000e+00
0	57	1	1.0000000000e+00
0	58	1	1.0000000000e+00
0	59	1	1.0000000000e+00
0	60	1	1.0000000000e+00
0	61	1	1.0000000000e+00
0	62	1	1.0000000000e+00
0	63	1	1.0000000000e+00
0	64	1	1.0000000000e+00
0	65	1	1.0000000000e+00
0	66	1	1.0000000000e+00
0	67	1	1.0000000000e+00
0	68	1	1.0000000000e+00
0	69	1	1.0000000000e+00
0	70	1	1.0000000000e+00
0	71	1	1.0000000000e+00
0	72	1	1.0000000000e+00
0	73	1	1.0000000000e+00
0	74	1	1.0000000000e+00
0	75	1	1.0000000000e+00
0	76	1	1.0000000000e+00
0	77	1	1.0000000000e+00
0	78	1	1.0000000000e+00
0	79	1	1.0000000000e+00
0	80	1	1.0000000000e+00
0	81	1	1.0000000000e+00
0	82	1	1.0000000000e+00
0	83	1	1.0000000000e+00
0	84	1	1.0000000000e+00
0	85	1	1.0000000000e+00
0	86	1	1.0000000000e+00
0	87	1	1.0000000000e+00
0	88	1	1.0000000000e+00
0	89	1	1.0000000000e+00
0	90	1	1.0000000000e+00
0	91	1	1.0000000000e+00
0	92	1	1.0000000000e+00
0	93	1	1.0000000000e+00
0	94	1	1.0000000000e+00
0	95	1	1.0000000000e+00
0	96	1	1.0000000000e+00
0	97	1	1.0000000000e+00
0	98	1	1.0000000000e+00
0	99	1	1.0000000000e+00
0	100	1	1.0000000000e+00
0	101	1	1.0000000000e+00
0	102	1	1.0000000000e+00
0	103	1	1.0000000000e+00
0	104	1	1.0000000000e+00
0	105	1	1.0000000000e+00
0	106	1	1.0000000000e+00
0	107	1	1.0000000000e+00
0	108	1	1.0000000000e+00
0	109	1	1.0000000000e+00
0	110	1	1.0000000000e+00
0	111	1	1.0000000000e+00
0	112	1	1.0000000000e+00
0	113	1	1.0000000000e+00
0	114	1	1.0000000000e+00
0	115	1	1.0000000000e+00
0	116	1	1.0000000000e+00
0	117	1	1.0000000000e+00
0	118	1	1.0000000000e+00
0	119	1	1.0000000000e+00
0	120	1	1.0000000000e+00
0	121	1	1.0000000000e+00
0	122	1	1.0000000000e+00
0	123	1	1.0000000000e+00
0	124	1	1.0000000000e+00
0	125	1	1.0000000000e+00
0	126	1	1.0000000000e+00
0	127	1	1.0000000000e+00
0	128	1	1.0000000000e+00
0	129	1	1.0000000000e+00
0	130	1	1.0000000000e+00
0	131	1	1.0000000000e+00
0	132	1	1.0000000000e+00
0	133	1	1.0000000000e+00
0	134	1	1.0000000000e+00
0	135	1	1.0000000000e+00
0	136	1	1.0000000000e+00
0	137	1	1.0000000000e+00
0	138	1	1.0000000000e+00
0	139	1	1.0000000000e+00
0	140	1	1.0000000000e+00
0	141	1	1.0000000000e+00
0	142	1	1.0000000000e+00
0	143	1	1.0000000000e+00
0	144	1	1.0000000000e+00
0	145	1	1.0000000000e+00
0	146	1	1.0000000000e+00
0	147	1	1.0000000000e+00
0	148	1	1.0000000000e+00
0	149	1	1.0000000000e+00
0	150	1	1.0000000000e+00
0	151	1	1.0000000000e+00
0	152	1	1.0000000000e+00
0	153	1	1.0000000000e+00
0	154	1	1.0000000000e+00
0	155	1	1.0000000000e+00
0	156	1	1.0000000000e+00
0	157	1	1.0000000000e+00
0	158	1	1.0000000000e+00
0	159	1	1.0000000000e+00
0	160	1	1.0000000000e+00
0	161	1	1.0000000000e+00
0	162	1	1.0000000000e+00
0	163	1	1.0000000000e+00
0	164	1	1.0000000000e+00
0	165	1	1.0000000000e+00
0	166	1	1.0000000000e+00
0	167	1	1.0000000000e+00
0	168	1	1.0000000000e+00
0	169	1	1.0000000000e+00
0	170	1	1.0000000000e+00
0	171	1	1.0000000000e+00
0	172	1	1.0000000000e+00
0	173	1	1.0000000000e+00
0	174	1	1.0000000000e+00
