pz 6
bT 0
component real
nstates 2
normalization_mode mode3
lattice_spacing_fm 7.6000000000e-02
zstep_fm 1.0000000000e-02
interpolation_kind cubic
x	q_mean	q_err	q_p16	q_p84
-5.0000000000e-01	8.3125621605e-02	1.3383725037e-03	8.1787249101e-02	8.4463994109e-02
-4.9000000000e-01	8.5720600931e-02	1.3579766322e-03	8.4362624298e-02	8.7078577563e-02
-4.8000000000e-01	8.8404429554e-02	1.3462069899e-03	8.7058222564e-02	8.9750636544e-02
-4.7000000000e-01	9.1214701430e-02	1.3487161828e-03	8.9865985248e-02	9.2563417613e-02
-4.6000000000e-01	9.4102220704e-02	1.3552470371e-03	9.2746973667e-02	9.5457467741e-02
-4.5000000000e-01	9.7112103224e-02	1.3242740184e-03	9.5787829205e-02	9.8436377242e-02
-4.4000000000e-01	1.0023276663e-01	1.3637887207e-03	9.8868977906e-02	1.0159655535e-01
-4.3000000000e-01	1.0349069553e-01	1.3787141894e-03	1.0211198134e-01	1.0486940972e-01
-4.2000000000e-01	1.0691220048e-01	1.3643585396e-03	1.0554784194e-01	1.0827655902e-01
-4.1000000000e-01	1.1041554146e-01	1.3750044196e-03	1.0904053705e-01	1.1179054588e-01
-4.0000000000e-01	1.1407968165e-01	1.3954350170e-03	1.1268424663e-01	1.1547511667e-01
-3.9000000000e-01	1.1785310356e-01	1.4368006064e-03	1.1641630295e-01	1.1928990417e-01
-3.8000000000e-01	1.2178259522e-01	1.3962845492e-03	1.2038631067e-01	1.2317887977e-01
-3.7000000000e-01	1.2583810166e-01	1.3531020480e-03	1.2448499961e-01	1.2719120371e-01
-3.6000000000e-01	1.3007145398e-01	1.3423768480e-03	1.2872907713e-01	1.3141383083e-01
-3.5000000000e-01	1.3449786450e-01	1.3084687537e-03	1.3318939575e-01	1.3580633325e-01
-3.4000000000e-01	1.3919549636e-01	1.3651416520e-03	1.3783035471e-01	1.4056063801e-01
-3.3000000000e-01	1.4407306052e-01	1.4049396647e-03	1.4266812085e-01	1.4547800018e-01
-3.2000000000e-01	1.4917556553e-01	1.4503948586e-03	1.4772517067e-01	1.5062596039e-01
-3.1000000000e-01	1.5444467920e-01	1.4868475456e-03	1.5295783165e-01	1.5593152674e-01
-3.0000000000e-01	1.5998100856e-01	1.5033041060e-03	1.5847770445e-01	1.6148431266e-01
-2.9000000000e-01	1.6573267925e-01	1.5532165937e-03	1.6417946266e-01	1.6728589585e-01
-2.8000000000e-01	1.7178130339e-01	1.5745830375e-03	1.7020672035e-01	1.7335588642e-01
-2.7000000000e-01	1.7808344037e-01	1.6305479941e-03	1.7645289238e-01	1.7971398837e-01
-2.6000000000e-01	1.8460138643e-01	1.6958182181e-03	1.8290556822e-01	1.8629720465e-01
-2.5000000000e-01	1.9141807506e-01	1.7992788515e-03	1.8961879621e-01	1.9321735391e-01
-2.4000000000e-01	1.9848039366e-01	1.8967461246e-03	1.9658364754e-01	2.0037713978e-01
-2.3000000000e-01	2.0580060805e-01	1.9945242873e-03	2.0380608377e-01	2.0779513234e-01
-2.2000000000e-01	2.1347593156e-01	2.1254243108e-03	2.1135050725e-01	2.1560135587e-01
-2.1000000000e-01	2.2144224111e-01	2.2392372589e-03	2.1920300385e-01	2.2368147837e-01
-2.0000000000e-01	2.2973649161e-01	2.3742717022e-03	2.2736221990e-01	2.3211076331e-01
-1.9000000000e-01	2.3831805518e-01	2.4700764312e-03	2.3584797875e-01	2.4078813161e-01
-1.8000000000e-01	2.4717845340e-01	2.5344947690e-03	2.4464395863e-01	2.4971294816e-01
-1.7000000000e-01	2.5632014908e-01	2.5781094947e-03	2.5374203958e-01	2.5889825857e-01
-1.6000000000e-01	2.6580968439e-01	2.5727636320e-03	2.6323692076e-01	2.6838244802e-01
-1.5000000000e-01	2.7555087909e-01	2.5602169773e-03	2.7299066211e-01	2.7811109607e-01
-1.4000000000e-01	2.8557637277e-01	2.5397337762e-03	2.8303663900e-01	2.8811610655e-01
