normalization_mode mode3
title l64c64a076_m140_fit_pz1
gm T5
eta eta0
pz 1
bT 0
component real
nstates 2
normalization_sample_domain complex
input_fit_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz1/tables/l64c64a076_m140_fit_pz1_T5_eta0_bT0_real_2state_fit.txt
input_sample_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz1/samples/l64c64a076_m140_fit_pz1_T5_eta0_bT0_real_2state_samples.txt
reference_same_pz_bT0_bz0 l64c64a076_m140_fit_pz1 T5 eta0 pz=1 bT=0 bz=0
reference_pz0_same_bT_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
reference_pz0_bT0_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
bz	tmin	tmax	success_bootstrap_center	chi2_dof	pvalue	two_point_fit_tmax	m0_mean	m0_err
0	4	20	1	3.4346028765e-01	9.6155211643e-01	25	1.0000000000e+00	0.0000000000e+00
1	4	20	1	3.4873192731e-01	9.5830244652e-01	25	9.4602413179e-01	5.2330706329e-05
2	4	20	1	3.6373997631e-01	9.5109878369e-01	25	8.4979713421e-01	1.5660400525e-04
3	4	20	1	4.1873824884e-01	9.1298015501e-01	25	7.4916352188e-01	2.8394800124e-04
4	4	20	1	5.1290124313e-01	8.4252825254e-01	25	6.5174486342e-01	4.0908039013e-04
5	4	20	1	6.8828857960e-01	7.0033826493e-01	25	5.6028852782e-01	5.1256988438e-04
6	4	20	1	9.6203363529e-01	5.3221471198e-01	25	4.7666796963e-01	5.9693108868e-04
7	4	20	1	1.3408162230e+00	3.4787603206e-01	25	4.0183603629e-01	6.5458170567e-04
8	4	20	1	1.7824095870e+00	1.5942552448e-01	25	3.3603159548e-01	6.6525933835e-04
9	4	20	1	2.2899510392e+00	5.0219667391e-02	25	2.7893631305e-01	6.9462018847e-04
10	4	20	1	2.8163981233e+00	8.2496355725e-03	25	2.2999399871e-01	7.0960565188e-04
11	4	20	1	3.3350593631e+00	9.5808082057e-04	25	1.8839500295e-01	6.8666666919e-04
12	4	20	1	3.5959590943e+00	2.6450453046e-04	25	1.5341102871e-01	6.5249375641e-04
13	4	20	1	3.6964773187e+00	1.4535788663e-04	25	1.2419450009e-01	6.5883768449e-04
14	4	20	1	3.7019177869e+00	1.4357858577e-04	25	1.0004614037e-01	6.3188613836e-04
15	4	20	1	3.7523714305e+00	8.4597189284e-05	25	8.0189141346e-02	5.9912185090e-04
16	4	20	1	4.0127439806e+00	1.9335570473e-05	25	6.4000315221e-02	5.5466267818e-04
17	4	20	1	4.3756629631e+00	3.5351976525e-06	25	5.0939830775e-02	5.3249936366e-04
18	4	20	1	4.5695153289e+00	1.4786848417e-06	25	4.0432149493e-02	5.3418213991e-04
19	4	20	1	4.6619997690e+00	1.4722613085e-06	25	3.2022408672e-02	4.9396322951e-04
20	4	20	1	4.4901476507e+00	3.3343178200e-06	25	2.5403359791e-02	4.9404463341e-04
