normalization_mode mode3
title l64c64a076_m140_fit_pz6
gm T5
eta eta0
pz 6
bT 0
component real
nstates 2
normalization_sample_domain complex
input_fit_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz6/tables/l64c64a076_m140_fit_pz6_T5_eta0_bT0_real_2state_fit.txt
input_sample_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz6/samples/l64c64a076_m140_fit_pz6_T5_eta0_bT0_real_2state_samples.txt
reference_same_pz_bT0_bz0 l64c64a076_m140_fit_pz6 T5 eta0 pz=6 bT=0 bz=0
reference_pz0_same_bT_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
reference_pz0_bT0_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
bz	tmin	tmax	success_bootstrap_center	chi2_dof	pvalue	two_point_fit_tmax	m0_mean	m0_err
0	6	12	1	2.0299556180e+00	1.6354718675e-01	13	1.0000000000e+00	0.0000000000e+00
1	6	12	1	2.0623963328e+00	1.5746876323e-01	13	9.3173835487e-01	2.8902870070e-04
2	6	12	1	2.1992971983e+00	1.4501751618e-01	13	8.0143728764e-01	8.7648237424e-04
3	6	12	1	2.3511826696e+00	1.1538748900e-01	13	6.5858463902e-01	1.5857509543e-03
4	6	12	1	2.3947402316e+00	1.0274394175e-01	13	5.1892473851e-01	2.0808522841e-03
5	6	12	1	2.1861880951e+00	1.3035422247e-01	13	3.9115960975e-01	2.4486208376e-03
6	6	12	1	1.7088291763e+00	2.4809729965e-01	13	2.8081717324e-01	2.7560286401e-03
7	6	12	1	1.3550967701e+00	3.5964989441e-01	13	1.9007217361e-01	2.7064445073e-03
8	6	12	1	1.6379427734e+00	2.7163792381e-01	13	1.1934552587e-01	2.4609040009e-03
9	6	12	1	2.2315195825e+00	1.7787749729e-01	13	6.7073567331e-02	2.4144837245e-03
10	6	12	1	2.8758860448e+00	9.8316364033e-02	13	3.0679484178e-02	2.0011926109e-03
11	6	12	1	3.2918050711e+00	6.0133707680e-02	13	7.1137540390e-03	1.8966248624e-03
12	6	12	1	3.3322270568e+00	5.2132663773e-02	13	-6.8475476643e-03	1.8026149331e-03
13	6	12	1	3.1852631478e+00	6.0689898998e-02	13	-1.4034390496e-02	1.7860936800e-03
14	6	12	1	3.3543176451e+00	4.5313943766e-02	13	-1.6329165211e-02	1.9307168406e-03
15	6	12	1	3.4652279349e+00	3.9334497301e-02	13	-1.5742816418e-02	1.9072227422e-03
16	6	12	1	3.3079218001e+00	4.0993143536e-02	13	-1.3635087617e-02	1.9048329287e-03
17	6	12	1	2.8448804903e+00	7.1093130605e-02	13	-1.1301957585e-02	2.0250234820e-03
18	6	12	1	2.3362789536e+00	1.3728857036e-01	13	-8.9352165289e-03	2.0636745245e-03
19	6	12	1	2.1098529667e+00	2.1255001883e-01	13	-6.9008680972e-03	2.0407269184e-03
20	6	12	1	2.1825659292e+00	2.2183420483e-01	13	-5.7976383438e-03	1.9518917520e-03
